,Indeed,Monster,Simply Hired
Python,4229.0,2135.0,3167.0
SQL,3043.0,2673.0,2277.0
R,3139.0,1673.0,2335.0
Spark,1700.0,866.0,1178.0
Hadoop,1545.0,825.0,1044.0
Java,1391.0,705.0,1025.0
Tableau,1170.0,533.0,879.0
AWS,1231.0,855.0,840.0
SAS,926.0,572.0,735.0
Hive,809.0,722.0,538.0
Scala,760.0,422.0,602.0
Excel,646.0,304.0,525.0
TensorFlow,794.0,684.0,555.0
C++,550.0,541.0,377.0
Azure,642.0,363.0,436.0
NoSQL,505.0,426.0,379.0
Linux,472.0,234.0,340.0
C,550.0,359.0,377.0
Matlab,547.0,285.0,424.0
Scikit-learn,491.0,227.0,366.0
Pandas,362.0,139.0,325.0
Git,341.0,152.0,263.0
Keras,404.0,355.0,267.0
Javascript,283.0,344.0,241.0
Pig,217.0,168.0,173.0
Hbase,266.0,122.0,137.0
Google Cloud,176.0,121.0,125.0
Docker,355.0,138.0,211.0
NumPy,267.0,130.0,235.0
PyTorch,352.0,167.0,261.0
C#,550.0,358.0,377.0
SPSS,231.0,264.0,194.0
MySQL,247.0,134.0,208.0
Perl,258.0,177.0,162.0
Cassandra,201.0,96.0,122.0
MongoDB,181.0,80.0,149.0
GCP,213.0,73.0,131.0
Kubernetes,174.0,158.0,127.0
D3,126.0,120.0,104.0
Databricks,148.0,66.0,110.0
postgresql,101.0,195.0,91.0
Caffe,135.0,36.0,61.0
Airflow,102.0,64.0,92.0
Alteryx,87.0,41.0,71.0
BigQuery,93.0,52.0,65.0
Fastai,1.0,,1.0
